QuestionID,Class,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty,Source,Active
ENG020,6,English,possessive noun,Choose the correct possessive form: 'the bag belonging to Riya'.,Riyas bag,Riya's bag,Riyas' bag,Riya bag's,B,Riya's shows possession by Riya.,Easy,RMS/Sainik Prep,TRUE
ENG021,6,English,possessive noun,Choose the correct form: 'the books belonging to the students'.,students book,student's books,students' books,students books',C,Students' shows possession by plural students.,Medium,RMS/Sainik Prep,TRUE
ENG022,6,English,compound noun,Which is a compound noun?,sunflower,sunny,flowered,sun,A,Sunflower is formed by combining sun and flower.,Easy,RMS/Sainik Prep,TRUE
ENG023,6,English,compound noun,Which word is a compound noun?,toothbrush,brushes,toothy,tooth,A,Toothbrush combines tooth and brush.,Easy,RMS/Sainik Prep,TRUE
ENG024,6,English,noun type,'Honesty' is what kind of noun?,Proper,Abstract,Collective,Material,B,Honesty names a quality and is abstract.,Easy,RMS/Sainik Prep,TRUE
ENG025,6,English,noun type,'Team' is what kind of noun?,Abstract,Material,Collective,Proper,C,Team refers to a group of people and is collective.,Easy,RMS/Sainik Prep,TRUE
ENG026,6,English,noun type,'Silver' is what kind of noun?,Material,Abstract,Collective,Proper,A,Silver names a material.,Easy,RMS/Sainik Prep,TRUE
ENG027,6,English,noun type,'Mumbai' is what kind of noun?,Common,Proper,Abstract,Collective,B,Mumbai is the specific name of a city.,Easy,RMS/Sainik Prep,TRUE
ENG028,6,English,noun type,'Teacher' is what kind of noun?,Proper,Common,Material,Abstract,B,Teacher is a general name for a person who teaches.,Easy,RMS/Sainik Prep,TRUE
ENG029,6,English,plural spelling,Which is the correct plural of 'potato'?,potatos,potatoes,potatoies,potatoses,B,The usual plural spelling is potatoes.,Easy,RMS/Sainik Prep,TRUE
ENG030,6,English,plural spelling,Which is the correct plural of 'knife'?,knifes,knifees,knives,knivs,C,Knife changes to knives in the plural.,Easy,RMS/Sainik Prep,TRUE
ENG031,6,English,plural spelling,Which is the correct plural of 'city'?,citys,cities,cityes,citis,B,A consonant before y changes y to i and adds es.,Easy,RMS/Sainik Prep,TRUE
ENG032,6,English,plural spelling,Which is the plural of 'deer'?,deers,deer,deeres,deerses,B,Deer has the same singular and plural form.,Medium,RMS/Sainik Prep,TRUE
ENG033,6,English,noun usage,Choose the correct sentence.,She gave me an advice.,She gave me some advice.,She gave me many advices.,She gave me an advices.,B,Advice is normally uncountable; 'some advice' is correct.,Medium,RMS/Sainik Prep,TRUE
ENG034,6,English,noun usage,Choose the correct sentence.,I bought two pieces of furniture.,I bought two furnitures.,I bought two furniture.,I bought a furnitures.,A,"Furniture is uncountable, so pieces of furniture is used.",Hard,RMS/Sainik Prep,TRUE
ENG035,6,English,noun number,Which noun can be both singular and plural without a change in form?,deer,book,child,mouse,A,Deer can refer to one or several animals.,Medium,RMS/Sainik Prep,TRUE
ENG036,6,English,Pronouns,Choose the pronoun: 'Rahul said that he was tired.',Rahul,said,he,tired,C,He replaces Rahul and is a pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG037,6,English,Pronouns,Which is a personal pronoun?,quickly,they,beautiful,under,B,They is a personal pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG038,6,English,Pronouns,Riya and I completed ___ homework.,our,their,her,his,A,Our agrees with the subject Riya and I.,Easy,RMS/Sainik Prep,TRUE
ENG039,6,English,Pronouns,The boys brought ___ cricket bats.,his,her,their,our,C,Their refers to the plural boys.,Easy,RMS/Sainik Prep,TRUE
ENG040,6,English,Pronouns,This book belongs to me. It is ___.,my,mine,me,I,B,Mine is a possessive pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG041,6,English,Pronouns,That bicycle belongs to her. It is ___.,her,hers,she,herself,B,Hers is the possessive pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG042,6,English,Pronouns,Choose the reflexive pronoun: 'I hurt myself.',I,hurt,myself,the,C,Myself refers back to the subject I.,Easy,RMS/Sainik Prep,TRUE
ENG043,6,English,Pronouns,Choose the correct pronoun: 'The teacher called Aman and ___.',I,me,my,mine,B,Me is the object form after called.,Medium,RMS/Sainik Prep,TRUE
ENG044,6,English,Pronouns,Choose the correct pronoun: '___ are going to the library.',Us,We,Our,Ours,B,We is the subject pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG045,6,English,Pronouns,Which is a demonstrative pronoun?,these,who,someone,myself,A,These points to particular things.,Easy,RMS/Sainik Prep,TRUE
ENG046,6,English,Pronouns,___ is knocking at the door?,Who,Whom,Which,Whose,A,Who asks about a person as the subject.,Easy,RMS/Sainik Prep,TRUE
ENG047,6,English,Pronouns,___ did you invite to the party?,Who,Whom,Which,What,B,Whom is used as the object in formal grammar.,Hard,RMS/Sainik Prep,TRUE
ENG048,6,English,Pronouns,___ pen is this?,Who,Whom,Whose,Which,C,Whose asks about possession.,Easy,RMS/Sainik Prep,TRUE
ENG049,6,English,Pronouns,Everyone should bring ___ own pencil.,their,his or her,our,your,B,"In traditional school grammar, his or her agrees with singular everyone.",Medium,RMS/Sainik Prep,TRUE
ENG050,6,English,Pronouns,The cat washed ___ with its tongue.,it,itself,it’s,its,B,Itself is the reflexive pronoun referring to cat.,Easy,RMS/Sainik Prep,TRUE
ENG051,6,English,Pronouns,Neither Ravi nor Mohan brought ___ notebook.,their,his,our,your,B,Traditional agreement uses his with the singular alternatives.,Medium,RMS/Sainik Prep,TRUE
ENG052,6,English,Pronouns,Which word is an indefinite pronoun?,someone,Delhi,quickly,blue,A,Someone refers to an unspecified person.,Easy,RMS/Sainik Prep,TRUE
ENG053,6,English,Pronouns,Which word is a relative pronoun?,which,very,under,green,A,Which introduces a relative clause.,Medium,RMS/Sainik Prep,TRUE
ENG054,6,English,Pronouns,I know the boy ___ won the race.,which,who,whom,whose,B,Who refers to the boy as the subject of won.,Easy,RMS/Sainik Prep,TRUE
ENG055,6,English,Pronouns,This is the girl ___ brother is a doctor.,who,whose,whom,which,B,Whose expresses possession.,Medium,RMS/Sainik Prep,TRUE
ENG056,6,English,Pronouns,The man ___ we met was kind.,who,whom,whose,which,B,Whom is the object of met in formal grammar.,Hard,RMS/Sainik Prep,TRUE
ENG057,6,English,Pronouns,Choose the correct form: 'This gift is for ___.'.,I,me,my,mine,B,Me is the object form after the preposition for.,Easy,RMS/Sainik Prep,TRUE
ENG058,6,English,Pronouns,___ of the two pencils is yours?,Who,Which,Whom,Whose,B,Which is used when choosing between alternatives.,Easy,RMS/Sainik Prep,TRUE
ENG059,6,English,Pronouns,The children enjoyed ___ at the picnic.,themselves,them,their,they,A,Themselves is reflexive and refers back to children.,Easy,RMS/Sainik Prep,TRUE
ENG060,6,English,Pronouns,Choose the correct sentence.,Me and Rohan went home.,Rohan and me went home.,Rohan and I went home.,Rohan and myself went home.,C,I is the correct subject pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG061,6,English,Pronouns,Choose the correct sentence.,This are my books.,These are my books.,These is my books.,This is my books.,B,These agrees with plural books.,Easy,RMS/Sainik Prep,TRUE
ENG062,6,English,Pronouns,___ is my best friend.,He,Him,His,Himself,A,He is the subject pronoun.,Easy,RMS/Sainik Prep,TRUE
ENG063,6,English,Pronouns,I gave the book to ___.,she,her,hers,herself,B,Her is the object pronoun after to.,Easy,RMS/Sainik Prep,TRUE
ENG064,6,English,Pronouns,Which sentence uses a possessive pronoun correctly?,This is my.,This is mine.,This is me.,This is I.,B,Mine can stand alone and show possession.,Easy,RMS/Sainik Prep,TRUE
ENG065,6,English,Pronouns,Which pronoun can replace 'Neha and Priya'?,she,they,it,we,B,They replaces a plural group of people.,Easy,RMS/Sainik Prep,TRUE
ENG066,6,English,Adjectives,Identify the adjective: 'The tall boy won the race.',boy,won,tall,race,C,Tall describes the noun boy.,Easy,RMS/Sainik Prep,TRUE
ENG067,6,English,Adjectives,Choose the adjective in 'She wore a beautiful dress.',wore,she,beautiful,dress,C,Beautiful describes the dress.,Easy,RMS/Sainik Prep,TRUE
ENG068,6,English,Adjectives,What is the comparative form of 'tall'?,tallest,more tall,taller,talling,C,Taller is the comparative form.,Easy,RMS/Sainik Prep,TRUE
ENG069,6,English,Adjectives,What is the superlative form of 'small'?,smaller,smallest,most small,small,B,Smallest is the superlative form.,Easy,RMS/Sainik Prep,TRUE
ENG070,6,English,Adjectives,Choose the comparative form of 'good'.,gooder,best,better,more good,C,Better is the irregular comparative of good.,Easy,RMS/Sainik Prep,TRUE
ENG071,6,English,Adjectives,Choose the superlative form of 'bad'.,badder,worst,worse,most bad,B,Worst is the irregular superlative of bad.,Easy,RMS/Sainik Prep,TRUE
ENG072,6,English,Adjectives,There are ___ apples in the basket.,much,many,little,anyone,B,Many is used with countable plural nouns.,Easy,RMS/Sainik Prep,TRUE
ENG073,6,English,Adjectives,There is ___ water in the bottle.,many,few,little,several,C,Little is used with uncountable water.,Easy,RMS/Sainik Prep,TRUE
ENG074,6,English,Adjectives,Which is a demonstrative adjective?,this,quickly,who,very,A,This points out a noun.,Easy,RMS/Sainik Prep,TRUE
ENG075,6,English,Adjectives,Which is a possessive adjective?,mine,my,me,myself,B,My comes before a noun to show possession.,Easy,RMS/Sainik Prep,TRUE
ENG076,6,English,Adjectives,Which is an interrogative adjective?,which,quickly,someone,very,A,Which modifies a noun in a question.,Medium,RMS/Sainik Prep,TRUE
ENG077,6,English,Adjectives,Which is a numeral adjective?,three,beautiful,soft,some,A,Three tells the number of nouns.,Easy,RMS/Sainik Prep,TRUE
ENG078,6,English,Adjectives,Which adjective shows quantity?,some,red,wooden,first,A,Some indicates quantity.,Easy,RMS/Sainik Prep,TRUE
ENG079,6,English,Adjectives,Which adjective shows order?,five,fifth,many,few,B,Fifth indicates position in an order.,Easy,RMS/Sainik Prep,TRUE
ENG080,6,English,Adjectives,The elephant is ___ than the horse.,big,bigger,biggest,more big,B,Bigger is the comparative form of big.,Easy,RMS/Sainik Prep,TRUE
ENG081,6,English,Adjectives,Mount Everest is the ___ mountain in the world.,high,higher,highest,more high,C,Highest is used to compare one with all others.,Easy,RMS/Sainik Prep,TRUE
ENG082,6,English,Adjectives,Rita is as ___ as Sita.,tall,taller,tallest,more tall,A,As...as takes the positive form.,Medium,RMS/Sainik Prep,TRUE
ENG083,6,English,Adjectives,Which sentence uses an adjective correctly?,He runs quick.,He is a quick runner.,He quick runs.,He is quickly runner.,B,Quick modifies the noun runner.,Medium,RMS/Sainik Prep,TRUE
ENG084,6,English,Adjectives,Choose the correct word: 'This is the ___ of the two roads.',short,shorter,shortest,most short,B,"For two things, the comparative is used.",Medium,RMS/Sainik Prep,TRUE
ENG085,6,English,Adjectives,Which adjective is formed from 'danger'?,dangerously,danger,dangerous,dangered,C,Dangerous is the adjective describing something full of danger.,Easy,RMS/Sainik Prep,TRUE
ENG086,6,English,Adjectives,Which adjective is formed from 'care'?,carefully,careful,caringly,care,B,Careful is an adjective.,Easy,RMS/Sainik Prep,TRUE
ENG087,6,English,Adjectives,Choose the correct adjective: 'He has ___ money than I do.',less,few,many,several,A,Less is used with uncountable money.,Medium,RMS/Sainik Prep,TRUE
ENG088,6,English,Adjectives,Choose the correct adjective: 'There are ___ students in this class.',much,little,many,less,C,Many is used with countable students.,Easy,RMS/Sainik Prep,TRUE
ENG089,6,English,Adjectives,Which word is an adjective of colour?,blue,quickly,beauty,run,A,Blue describes colour.,Easy,RMS/Sainik Prep,TRUE
ENG090,6,English,Adjectives,Which word is an adjective of material?,wooden,wood,woods,woodly,A,Wooden describes something made of wood.,Easy,RMS/Sainik Prep,TRUE
ENG091,6,English,Adjectives,Which adjective means 'without fear'?,fearful,fearless,fearfully,feared,B,Fearless means without fear.,Easy,RMS/Sainik Prep,TRUE
ENG092,6,English,Adjectives,Which adjective means 'full of hope'?,hopeless,hopeful,hopefully,hoped,B,Hopeful means full of hope.,Easy,RMS/Sainik Prep,TRUE
ENG093,6,English,Adjectives,Choose the correct order: 'a ___ red ball'.,red small,small red,smallly red,redly small,B,Size usually comes before colour.,Medium,RMS/Sainik Prep,TRUE
ENG094,6,English,Adjectives,Which sentence has two adjectives?,The clever young boy smiled.,The boy smiled loudly.,The boy ran.,He smiled.,A,Clever and young both describe boy.,Easy,RMS/Sainik Prep,TRUE
ENG095,6,English,Adjectives,Which is the positive degree of 'better'?,best,good,well,goodest,B,Good is the positive form of better.,Easy,RMS/Sainik Prep,TRUE
ENG096,6,English,Adverbs,Identify the adverb: 'The child ran quickly.',child,ran,quickly,the,C,Quickly tells how the child ran.,Easy,RMS/Sainik Prep,TRUE
ENG097,6,English,Adverbs,Which word is an adverb of time?,today,slowly,here,very,A,Today tells when an action happens.,Easy,RMS/Sainik Prep,TRUE
ENG098,6,English,Adverbs,Which word is an adverb of place?,there,soon,very,carefully,A,There tells where.,Easy,RMS/Sainik Prep,TRUE
ENG099,6,English,Adverbs,Which word is an adverb of manner?,carefully,tomorrow,here,often,A,Carefully tells how an action is done.,Easy,RMS/Sainik Prep,TRUE
ENG100,6,English,Adverbs,Which word is an adverb of frequency?,often,there,soon,quite,A,Often tells how frequently something happens.,Easy,RMS/Sainik Prep,TRUE
ENG101,6,English,Adverbs,He speaks ___.,soft,softly,softness,softer,B,Softly is the adverb describing how he speaks.,Easy,RMS/Sainik Prep,TRUE
ENG102,6,English,Adverbs,She sings ___.,beautiful,beauty,beautifully,beautify,C,Beautifully modifies the verb sings.,Easy,RMS/Sainik Prep,TRUE
ENG103,6,English,Adverbs,The tortoise walked ___.,slow,slowly,slower,slowness,B,Slowly tells how it walked.,Easy,RMS/Sainik Prep,TRUE
ENG104,6,English,Adverbs,I will meet you ___.,tomorrow,carefully,very,slowly,A,Tomorrow is an adverb of time.,Easy,RMS/Sainik Prep,TRUE
ENG105,6,English,Adverbs,The boys are playing ___.,outside,yesterday,quickly,very,A,Outside tells where they are playing.,Easy,RMS/Sainik Prep,TRUE
ENG106,6,English,Adverbs,He ___ forgets his homework.,often,there,tomorrow,very,A,Often is an adverb of frequency.,Easy,RMS/Sainik Prep,TRUE
ENG107,6,English,Adverbs,She is ___ tired.,very,yesterday,there,quickly,A,Very modifies the adjective tired.,Easy,RMS/Sainik Prep,TRUE
ENG108,6,English,Adverbs,Which word modifies an adjective in 'It is extremely cold'?,it,is,extremely,cold,C,Extremely modifies the adjective cold.,Medium,RMS/Sainik Prep,TRUE
ENG109,6,English,Adverbs,Choose the correct adverb: 'The soldier fought ___.'.,brave,bravely,bravery,braver,B,Bravely modifies the verb fought.,Easy,RMS/Sainik Prep,TRUE
ENG110,6,English,Adverbs,Choose the correct adverb: 'He answered the question ___.'.,correct,correctly,correction,correctness,B,Correctly tells how he answered.,Easy,RMS/Sainik Prep,TRUE
ENG111,6,English,Adverbs,Which sentence contains an adverb of place?,Come here.,She arrived yesterday.,He runs fast.,He often smiles.,A,Here indicates place.,Easy,RMS/Sainik Prep,TRUE
ENG112,6,English,Adverbs,Which sentence contains an adverb of time?,He came yesterday.,He ran quickly.,He stayed here.,He often reads.,A,Yesterday indicates time.,Easy,RMS/Sainik Prep,TRUE
ENG113,6,English,Adverbs,Which sentence contains an adverb of frequency?,She always studies.,She studies here.,She studies carefully.,She studies tomorrow.,A,Always tells how frequently she studies.,Easy,RMS/Sainik Prep,TRUE
ENG114,6,English,Adverbs,Which sentence contains an adverb of manner?,He writes neatly.,He writes today.,He writes here.,He always writes.,A,Neatly tells how he writes.,Easy,RMS/Sainik Prep,TRUE
ENG115,6,English,Adverbs,What is the adverb form of 'happy'?,happily,happyly,happiness,happier,A,Happily is the adverb form.,Easy,RMS/Sainik Prep,TRUE
ENG116,6,English,Adverbs,What is the adverb form of 'easy'?,easily,easyly,ease,easier,A,Easily is the correct adverb form.,Easy,RMS/Sainik Prep,TRUE
ENG117,6,English,Adverbs,What is the adverb form of 'careful'?,carefully,carefuly,care,caring,A,Carefully is formed by adding -ly.,Easy,RMS/Sainik Prep,TRUE
ENG118,6,English,Adverbs,Which word is NOT an adverb?,quickly,slowly,beautiful,quietly,C,"Beautiful is an adjective, not an adverb.",Easy,RMS/Sainik Prep,TRUE
ENG119,6,English,Adverbs,Choose the correct sentence.,He runs quick.,He runs quickly.,He quickly runner.,He is runs quickly.,B,Quickly correctly modifies runs.,Easy,RMS/Sainik Prep,TRUE
ENG120,6,English,Adverbs,Which word means 'at once'?,immediately,slowly,rarely,tomorrow,A,Immediately means without delay.,Medium,RMS/Sainik Prep,TRUE
ENG121,6,English,Adverbs,Which word means 'almost never'?,always,often,rarely,usually,C,Rarely means not often.,Medium,RMS/Sainik Prep,TRUE
ENG122,6,English,Adverbs,Which word means 'every time'?,never,always,sometimes,rarely,B,Always means every time.,Easy,RMS/Sainik Prep,TRUE
ENG123,6,English,Adverbs,Which word means 'sometimes'?,occasionally,never,always,daily,A,Occasionally means sometimes.,Medium,RMS/Sainik Prep,TRUE
ENG124,6,English,Adverbs,Choose the correct placement: 'She ___ visits her grandmother.',often,visits often,oftenly,more oftenly,A,Often naturally comes before the main verb visits.,Medium,RMS/Sainik Prep,TRUE
ENG125,6,English,Adverbs,Which word modifies the verb in 'The dog barked loudly'?,dog,barked,loudly,the,C,Loudly tells how the dog barked.,Easy,RMS/Sainik Prep,TRUE
ENG126,6,English,Prepositions,The book is ___ the table.,on,at,by,from,A,On shows the book's position relative to the table.,Easy,RMS/Sainik Prep,TRUE
ENG127,6,English,Prepositions,The cat is hiding ___ the bed.,under,at,from,by,A,Under indicates a lower position.,Easy,RMS/Sainik Prep,TRUE
ENG128,6,English,Prepositions,We walked ___ the bridge.,across,during,since,between,A,Across shows movement from one side to another.,Easy,RMS/Sainik Prep,TRUE
ENG129,6,English,Prepositions,The train arrived ___ 6 p.m.,at,on,in,by,A,At is used with a specific time.,Easy,RMS/Sainik Prep,TRUE
ENG130,6,English,Prepositions,My birthday is ___ July.,at,on,in,by,C,In is used with months.,Easy,RMS/Sainik Prep,TRUE
ENG131,6,English,Prepositions,The match is ___ Sunday.,at,on,in,from,B,On is used with days and dates.,Easy,RMS/Sainik Prep,TRUE
ENG132,6,English,Prepositions,He has lived here ___ 2020.,for,since,from,by,B,Since is used with a starting point in time.,Easy,RMS/Sainik Prep,TRUE
ENG133,6,English,Prepositions,He has lived here ___ six years.,since,for,at,on,B,For is used with a duration.,Easy,RMS/Sainik Prep,TRUE
ENG134,6,English,Prepositions,The ball is ___ the two boxes.,between,among,under,across,A,Between is used for two distinct items.,Easy,RMS/Sainik Prep,TRUE
ENG135,6,English,Prepositions,She shared the sweets ___ her friends.,among,between,at,by,A,Among is used for a group of more than two.,Easy,RMS/Sainik Prep,TRUE
ENG136,6,English,Prepositions,He travelled ___ Delhi ___ Jaipur.,"from, to","at, on","in, by","by, from",A,From indicates the starting point and to the destination.,Easy,RMS/Sainik Prep,TRUE
ENG137,6,English,Prepositions,The boy jumped ___ the river.,into,on,at,by,A,Into indicates movement to the inside.,Easy,RMS/Sainik Prep,TRUE
ENG138,6,English,Prepositions,The bird flew ___ the window.,through,during,since,among,A,Through indicates movement inside and out of an opening or space.,Easy,RMS/Sainik Prep,TRUE
ENG139,6,English,Prepositions,We waited ___ the bus stop.,at,on,in,from,A,At is used for a particular point or place.,Easy,RMS/Sainik Prep,TRUE
ENG140,6,English,Prepositions,The picture hangs ___ the wall.,on,in,at,to,A,On is used for something attached to a surface.,Easy,RMS/Sainik Prep,TRUE
ENG141,6,English,Prepositions,She sat ___ me in class.,beside,during,since,from,A,Beside means next to.,Easy,RMS/Sainik Prep,TRUE
ENG142,6,English,Prepositions,The teacher walked ___ the classroom.,into,since,for,at,A,Into indicates movement inside.,Easy,RMS/Sainik Prep,TRUE
ENG143,6,English,Prepositions,The shop is ___ the bank and the post office.,between,among,through,during,A,Between is correct for two reference points.,Easy,RMS/Sainik Prep,TRUE
ENG144,6,English,Prepositions,He was absent ___ Monday.,on,at,in,by,A,On is used with a day.,Easy,RMS/Sainik Prep,TRUE
ENG145,6,English,Prepositions,We will finish the work ___ evening.,by,at,on,since,A,By indicates the latest time by which something will happen.,Medium,RMS/Sainik Prep,TRUE
ENG146,6,English,Prepositions,The children played ___ the rain.,in,at,on,by,A,In the rain is the standard expression.,Easy,RMS/Sainik Prep,TRUE
ENG147,6,English,Prepositions,He came ___ foot.,on,by,in,at,A,The fixed expression is on foot.,Easy,RMS/Sainik Prep,TRUE
ENG148,6,English,Prepositions,She went to school ___ bus.,by,on,at,from,A,By is used with means of transport such as by bus.,Easy,RMS/Sainik Prep,TRUE
ENG149,6,English,Prepositions,The dog ran ___ the road.,along,since,during,at,A,Along indicates movement following the length of something.,Medium,RMS/Sainik Prep,TRUE
ENG150,6,English,Prepositions,He stood ___ the door.,near,during,since,from,A,Near indicates closeness.,Easy,RMS/Sainik Prep,TRUE
ENG151,6,English,Prepositions,We stayed indoors ___ the storm.,during,since,for,by,A,During indicates a period when something happens.,Medium,RMS/Sainik Prep,TRUE
ENG152,6,English,Prepositions,She has been waiting ___ two hours.,for,since,at,on,A,For is used for a length of time.,Easy,RMS/Sainik Prep,TRUE
ENG153,6,English,Prepositions,The plane flew ___ the clouds.,above,between,since,at,A,Above indicates a higher position.,Easy,RMS/Sainik Prep,TRUE
ENG154,6,English,Prepositions,The village lies ___ the mountain.,below,during,since,for,A,Below indicates a lower position.,Easy,RMS/Sainik Prep,TRUE
ENG155,6,English,Prepositions,He divided the cake ___ four children.,among,between,at,on,A,Among is appropriate for more than two people.,Easy,RMS/Sainik Prep,TRUE
ENG156,6,English,Sentences,Which is a complete sentence?,Running in the park.,The boy is reading.,Because he was late.,Under the table.,B,A complete sentence expresses a complete thought.,Easy,RMS/Sainik Prep,TRUE
ENG157,6,English,Sentences,Identify the subject: 'The little girl opened the door.',opened,door,The little girl,the,C,The little girl performs the action.,Easy,RMS/Sainik Prep,TRUE
ENG158,6,English,Sentences,Identify the predicate: 'The little girl opened the door.',The little girl,opened the door,girl,door,B,Opened the door tells what the subject did.,Easy,RMS/Sainik Prep,TRUE
ENG159,6,English,Sentences,What type of sentence gives a command?,Interrogative,Imperative,Exclamatory,Assertive,B,An imperative sentence gives a command or request.,Easy,RMS/Sainik Prep,TRUE
ENG160,6,English,Sentences,What type of sentence asks a question?,Assertive,Imperative,Interrogative,Exclamatory,C,An interrogative sentence asks a question.,Easy,RMS/Sainik Prep,TRUE
ENG161,6,English,Sentences,What type of sentence expresses strong feeling?,Exclamatory,Assertive,Interrogative,Imperative,A,An exclamatory sentence expresses strong emotion.,Easy,RMS/Sainik Prep,TRUE
ENG162,6,English,Sentences,'Please close the door.' is a/an ___ sentence.,assertive,imperative,interrogative,exclamatory,B,It is a polite command or request.,Easy,RMS/Sainik Prep,TRUE
ENG163,6,English,Sentences,'What a beautiful flower!' is a/an ___ sentence.,assertive,imperative,interrogative,exclamatory,D,It expresses strong admiration.,Easy,RMS/Sainik Prep,TRUE
ENG164,6,English,Sentences,Choose the correct punctuation: 'Where are you going___',.,?,! ,",",B,A question ends with a question mark.,Easy,RMS/Sainik Prep,TRUE
ENG165,6,English,Sentences,Choose the correct punctuation: 'What a lovely day___',.,?,! ,:,C,An exclamation expresses strong feeling.,Easy,RMS/Sainik Prep,TRUE
ENG166,6,English,Sentences,Choose the correct sentence.,he is my friend.,He is my friend.,He is my Friend.,he Is my friend.,B,A sentence begins with a capital letter.,Easy,RMS/Sainik Prep,TRUE
ENG167,6,English,Sentences,Choose the correctly punctuated sentence.,Ravi said I am ready.,"Ravi said, 'I am ready.'",Ravi said I am ready!,Ravi said 'I am ready',B,A comma and quotation marks are used to introduce direct speech.,Medium,RMS/Sainik Prep,TRUE
ENG168,6,English,Sentences,Which is a negative sentence?,She is happy.,She is not happy.,Is she happy?,Be happy.,B,Not makes the sentence negative.,Easy,RMS/Sainik Prep,TRUE
ENG169,6,English,Sentences,Change to negative: 'He is honest.',He is not honest.,He does honest.,He not is honest.,He is no honest.,A,Not forms the negative with is.,Easy,RMS/Sainik Prep,TRUE
ENG170,6,English,Sentences,Choose the correct question.,You are ready?,Are you ready?,Ready you are?,Are ready you?,B,The auxiliary are comes before the subject in a question.,Easy,RMS/Sainik Prep,TRUE
ENG171,6,English,Sentences,Choose the correct word: 'Neither Ravi nor Mohan ___ present.',are,were,is,have,C,"With neither...nor, the singular nearer subject Mohan takes is.",Hard,RMS/Sainik Prep,TRUE
ENG172,6,English,Sentences,Choose the correct conjunction: 'I stayed home ___ it was raining.',because,but,or,and,A,Because gives the reason.,Easy,RMS/Sainik Prep,TRUE
